yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality_1,locality_2,locality_3
2023-04-29, 15:06:46.8,57.694,-5.542,3.2,1.8,11,0.4,      ,   , SLATTADALE,HIGHLAND     <br>,
2023-05-01, 03:17:57.1,57.689,-5.52,6.3,1.4,10,0.3,      ,   , SLATTADALE,HIGHLAND     <br>,
2023-05-02, 06:48:48.9,56.132,-3.996,6.8,0.5,6,0.1,      ,   , CAMBUSBARRON,STIRLING   <br>,
2023-05-06, 11:29:11.2,56.624,-5.699,10.3,0.8,4,0.1,      ,   , MORVERN,HIGHLAND        <br>,
2023-05-18, 17:30:25.8,56.618,-5.689,10.9,0.9,4,0,      ,   , MORVERN,HIGHLAND        <br>,
2023-05-20, 14:37:40.6,56.481,-6.398,3.4,1.8,8,0.2,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-05-25, 02:10:26.0,56.203,-5.464,7.7,0.4,6,0.1,      ,   , FORD,ARGYLL &amp, BUTE      <br>
2023-05-30, 07:51:27.8,56.585,-6.219,7.2,1.8,9,0.4,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-05-30, 12:48:59.0,56.587,-6.184,7.2,0.9,5,0.4,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-05-30, 13:05:41.9,56.58,-6.178,7.6,1.5,7,0.4,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-05-30, 13:22:46.3,56.554,-6.28,6,0.9,6,0.3,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-05-30, 14:05:19.5,55.821,-5.998,7.7,1.3,10,0.5,      ,   , JURA,ARGYLL &amp, BUTE      <br>
2023-06-05, 02:12:26.7,56.07,-6.418,6.9,0.6,6,0.3,      ,   , COLONSAY,ARGYLL &amp, BUTE  <br>
2023-06-05, 04:06:05.9,56.401,-5.483,2.6,1.1,10,0.3,3,   , OBAN,ARGYLL &amp, BUTE      <br>
2023-06-06, 15:19:14.0,55.666,-3.427,7.6,0.8,7,0.1,      ,   , SKIRLING,BORDERS        <br>,
2023-06-09, 11:22:01.0,57.663,-6.114,6.8,0.8,4,0.2,      ,   , SKYE,HIGHLAND           <br>,
2023-06-13, 22:58:39.8,56.958,-5.455,7.6,0.6,7,0.3,      ,   , LOCH MORAR,HIGHLAND     <br>,
2023-06-17, 17:08:28.1,56.271,-5.315,7,0.6,6,0.1,      ,   , DALAVICH,ARGYLL &amp, BUTE  <br>
2023-06-18, 01:03:53.6,55.935,-5.472,2.6,0.6,10,0.6,      ,   , ACHAHOISH,ARGYLL &amp, BUTE <br>
